yourlist:M202206094ABAA9BC7178C81CEBC9459510EDDEA34FF825K	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC578355	A0A7M7NJ31	A0A7M7NJ31_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1325
LOC115918145	A0A7M7NLC5	A0A7M7NLC5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	244
LOC763532	A0A7M7N425	A0A7M7N425_STRPU	unreviewed	Squalene monooxygenase (EC 1.14.14.17)		Strongylocentrotus purpuratus (Purple sea urchin)	517
LOC579038	A0A7M7RE76	A0A7M7RE76_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	346
LOC100889435	A0A7M7T2Z2	A0A7M7T2Z2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	231
LOC576444	A0A7M7PJ61	A0A7M7PJ61_STRPU	unreviewed	Calponin-homology (CH) domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2000
LOC576444	A0A7M7PKU9	A0A7M7PKU9_STRPU	unreviewed	Calponin-homology (CH) domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2012
LOC576444	A0A7M7PL55	A0A7M7PL55_STRPU	unreviewed	Calponin-homology (CH) domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2000
LOC576444	A0A7M7PN20	A0A7M7PN20_STRPU	unreviewed	Calponin-homology (CH) domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2003
LOC115929229	A0A7M7PNF5	A0A7M7PNF5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	348
LOC115929229	A0A7M7PQ78	A0A7M7PQ78_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	541
LOC100888986	A0A7M7N8J6	A0A7M7N8J6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	807
LOC105436915	A0A7M7PK81	A0A7M7PK81_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	131
LOC585193	A0A7M7SSD6	A0A7M7SSD6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	986
LOC115920892	A0A7M7NCE3	A0A7M7NCE3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	326
LOC100891145	A0A7M7PIX2	A0A7M7PIX2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1480
LOC100891145	A0A7M7PK50	A0A7M7PK50_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1625
LOC100891145	A0A7M7T3V5	A0A7M7T3V5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1778
LOC590527	A0A7M7PJ09	A0A7M7PJ09_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1786
LOC100890119	A0A7M7NXQ8	A0A7M7NXQ8_STRPU	unreviewed	F-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	589
LOC100890119	A0A7M7NY84	A0A7M7NY84_STRPU	unreviewed	F-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	594
LOC579833	A0A7M7LT15	A0A7M7LT15_STRPU	unreviewed	Flavin-containing monooxygenase (EC 1.-.-.-)		Strongylocentrotus purpuratus (Purple sea urchin)	431
LOC579971	A0A7M7HF46	A0A7M7HF46_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	796
LOC579971	A0A7M7HM08	A0A7M7HM08_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	818
LOC100893071	A0A7M7LLM0	A0A7M7LLM0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC579761	A0A7M7MYE2	A0A7M7MYE2_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1496
LOC579761	A0A7M7MYK5	A0A7M7MYK5_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1495
LOC579761	A0A7M7MZA5	A0A7M7MZA5_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1490
LOC579761	A0A7M7N0J2	A0A7M7N0J2_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1447
LOC576122	A0A7M7NGV4	A0A7M7NGV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	505
LOC580187	A0A7M7MYV1	A0A7M7MYV1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1279
LOC115922782	A0A7M7NL70	A0A7M7NL70_STRPU	unreviewed	Neur_chan_LBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC115922782	A0A7M7NLL7	A0A7M7NLL7_STRPU	unreviewed	Neur_chan_LBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	354
LOC373195	A0A7M6UT16	A0A7M6UT16_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1046
LOC373195	A0A7M6UT33	A0A7M6UT33_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1023
LOC574837	A0A7M7T4Z2	A0A7M7T4Z2_STRPU	unreviewed	Lipocln_cytosolic_FA-bd_dom domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	283
LOC755928	A0A7M7PTR5	A0A7M7PTR5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1606
LOC100890904	A0A7M7GE72	A0A7M7GE72_STRPU	unreviewed	C1q domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	435
LOC100890629	A0A7M7PQN4	A0A7M7PQN4_STRPU	unreviewed	Centrosomal protein kizuna (Polo-like kinase 1 substrate 1)		Strongylocentrotus purpuratus (Purple sea urchin)	932
LOC100890629	A0A7M7PT01	A0A7M7PT01_STRPU	unreviewed	Centrosomal protein kizuna (Polo-like kinase 1 substrate 1)		Strongylocentrotus purpuratus (Purple sea urchin)	911
LOC585686	A0A7M7P0N9	A0A7M7P0N9_STRPU	unreviewed	G-patch domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	800
LOC585686	A0A7M7T004	A0A7M7T004_STRPU	unreviewed	G-patch domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	801
LOC105447412	A0A7M7T4C4	A0A7M7T4C4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC105446486	A0A7M7PHQ3	A0A7M7PHQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	137
LOC100889874	A0A7M7LSL9	A0A7M7LSL9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1800
LOC100889874	A0A7M7NXP9	A0A7M7NXP9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1801
LOC115924988	A0A7M7T018	A0A7M7T018_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC581329	A0A7M7HHH4	A0A7M7HHH4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	818
LOC115928036	A0A7M7PFN8	A0A7M7PFN8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	286
LOC754388	A0A7M7FZS8	A0A7M7FZS8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	126
LOC578741	A0A7M7RAL3	A0A7M7RAL3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	323
LOC100892105	A0A7M7PMA3	A0A7M7PMA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1346
LOC100892105	A0A7M7PP55	A0A7M7PP55_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1328
LOC100892105	A0A7M7PQZ0	A0A7M7PQZ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1347
LOC105436674	A0A7M7HK15	A0A7M7HK15_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	553
LOC575016	A0A7M7N123	A0A7M7N123_STRPU	unreviewed	C2H2-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2223
LOC575016	A0A7M7STB6	A0A7M7STB6_STRPU	unreviewed	C2H2-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2248
LOC582465	A0A7M7LWJ7	A0A7M7LWJ7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC580673	A0A7M7PPW8	A0A7M7PPW8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1076
LOC579114	A0A7M7RAR6	A0A7M7RAR6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	911
LOC115923223	A0A7M7SXY3	A0A7M7SXY3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	548
LOC763212	A0A7M7NXX2	A0A7M7NXX2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	988
LOC575890	A0A7M7R9W9	A0A7M7R9W9_STRPU	unreviewed	Chromo domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	612
LOC753216	A0A7M7P3F1	A0A7M7P3F1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	336
LOC753216	A0A7M7P3R4	A0A7M7P3R4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	354
LOC753216	A0A7M7P556	A0A7M7P556_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC753216	A0A7M7T0T8	A0A7M7T0T8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC100889855	A0A7M7N422	A0A7M7N422_STRPU	unreviewed	Sarcosine oxidase (EC 1.5.3.1)		Strongylocentrotus purpuratus (Purple sea urchin)	408
LOC100888951	A0A7M7NUW1	A0A7M7NUW1_STRPU	unreviewed	C3H1-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1283
LOC115926516	A0A7M7P787	A0A7M7P787_STRPU	unreviewed	F5/8 type C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	178
LOC100891122	A0A7M7P753	A0A7M7P753_STRPU	unreviewed	Hexosyltransferase (EC 2.4.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	424
LOC578315	A0A7M7NRH1	A0A7M7NRH1_STRPU	unreviewed	Hepatocyte growth factor-regulated tyrosine kinase substrate		Strongylocentrotus purpuratus (Purple sea urchin)	813
LOC763581	A0A7M7P450	A0A7M7P450_STRPU	unreviewed	Protein CLP1 homolog		Strongylocentrotus purpuratus (Purple sea urchin)	445
LOC763581	A0A7M7P6A1	A0A7M7P6A1_STRPU	unreviewed	Protein CLP1 homolog		Strongylocentrotus purpuratus (Purple sea urchin)	426
LOC763581	A0A7M7P9J8	A0A7M7P9J8_STRPU	unreviewed	Protein CLP1 homolog		Strongylocentrotus purpuratus (Purple sea urchin)	400
LOC581868	A0A7M7N052	A0A7M7N052_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1926
LOC579783	A0A7M7NSW7	A0A7M7NSW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	945
LOC100893594	A0A7M7HP95	A0A7M7HP95_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	207
LOC100893594	A0A7M7PJ13	A0A7M7PJ13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	166
LOC587373	A0A7M7TH54	A0A7M7TH54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	333
LOC578345	A0A7M7NVL5	A0A7M7NVL5_STRPU	unreviewed	Phosphoinositide phospholipase C (EC 3.1.4.11)		Strongylocentrotus purpuratus (Purple sea urchin)	2767
LOC578345	A0A7M7NY94	A0A7M7NY94_STRPU	unreviewed	Phosphoinositide phospholipase C (EC 3.1.4.11)		Strongylocentrotus purpuratus (Purple sea urchin)	2766
LOC578345	A0A7M7P168	A0A7M7P168_STRPU	unreviewed	Phosphoinositide phospholipase C (EC 3.1.4.11)		Strongylocentrotus purpuratus (Purple sea urchin)	2754
LOC591955	A0A7M7N6X8	A0A7M7N6X8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	949
LOC100891344	A0A7M7PM40	A0A7M7PM40_STRPU	unreviewed	Palmitoyltransferase (EC 2.3.1.225)		Strongylocentrotus purpuratus (Purple sea urchin)	301
LOC115918199	A0A7M7NJ21	A0A7M7NJ21_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC762372	A0A7M7SVF3	A0A7M7SVF3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	543
LOC586513	A0A7M7N204	A0A7M7N204_STRPU	unreviewed	Protein-serine/threonine phosphatase (EC 3.1.3.16)		Strongylocentrotus purpuratus (Purple sea urchin)	258
LOC586513	A0A7M7N3L2	A0A7M7N3L2_STRPU	unreviewed	Protein-serine/threonine phosphatase (EC 3.1.3.16)		Strongylocentrotus purpuratus (Purple sea urchin)	272
LOC592809	A0A7M7GNE2	A0A7M7GNE2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	575
LOC763123	A0A7M7PL42	A0A7M7PL42_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	441
LOC585417	A0A7M7NID5	A0A7M7NID5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	627
LOC585028	A0A7M7PIR2	A0A7M7PIR2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC100888945	A0A7M7GFG7	A0A7M7GFG7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	490
LOC582493	A0A7M7RCL6	A0A7M7RCL6_STRPU	unreviewed	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase)		Strongylocentrotus purpuratus (Purple sea urchin)	418
LOC105437701	A0A7M7LVM3	A0A7M7LVM3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1040
LOC582642	A0A7M7RC57	A0A7M7RC57_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	329
LOC115920520	A0A7M7SUF9	A0A7M7SUF9_STRPU	unreviewed	Ammonium transporter		Strongylocentrotus purpuratus (Purple sea urchin)	564
LOC100888989	A0A7M7NL20	A0A7M7NL20_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	761
LOC581909	A0A7M7MX91	A0A7M7MX91_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	608
LOC115920402	A0A7M7N738	A0A7M7N738_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	444
LOC100891000	A0A7M7HGT4	A0A7M7HGT4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	788
LOC100891000	A0A7M7HKM7	A0A7M7HKM7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC100891000	A0A7M7PFH7	A0A7M7PFH7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	633
LOC105441547	A0A7M7MZ28	A0A7M7MZ28_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1101
LOC105441547	A0A7M7MZD9	A0A7M7MZD9_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1111
LOC105441547	A0A7M7MZI9	A0A7M7MZI9_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1105
LOC105441547	A0A7M7MZQ9	A0A7M7MZQ9_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1092
LOC105441547	A0A7M7N0G5	A0A7M7N0G5_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1104
LOC105441547	A0A7M7N1Q9	A0A7M7N1Q9_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1103
LOC105441547	A0A7M7SST8	A0A7M7SST8_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1102
LOC105441547	A0A7M7SSY1	A0A7M7SSY1_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1093
LOC579101	A0A7M7LLB4	A0A7M7LLB4_STRPU	unreviewed	Carbonic anhydrase (EC 4.2.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	454
LOC579101	A0A7M7TGC8	A0A7M7TGC8_STRPU	unreviewed	Carbonic anhydrase (EC 4.2.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	453
LOC764741	A0A7M7P776	A0A7M7P776_STRPU	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	482
LOC105439802	A0A7M7LSY4	A0A7M7LSY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1000
LOC577772	A0A7M7N5L1	A0A7M7N5L1_STRPU	unreviewed	RNA helicase (EC 3.6.4.13)		Strongylocentrotus purpuratus (Purple sea urchin)	764
LOC594490	A0A7M7N728	A0A7M7N728_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1102
LOC100893526	A0A7M7GNL2	A0A7M7GNL2_STRPU	unreviewed	Putative hydroxypyruvate isomerase (EC 5.3.1.22)		Strongylocentrotus purpuratus (Purple sea urchin)	269
LOC763207	A0A7M7PTH7	A0A7M7PTH7_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	602
LOC115922994	A0A7M7NPT4	A0A7M7NPT4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	169
LOC100893121	A0A7M7P9V5	A0A7M7P9V5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	620
LOC593087	A0A7M7N7W3	A0A7M7N7W3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1384
LOC577037	A0A7M7RJ32	A0A7M7RJ32_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	767
LOC581763	A0A7M7HDU8	A0A7M7HDU8_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1225
LOC581763	A0A7M7HE29	A0A7M7HE29_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1226
LOC581763	A0A7M7MZL7	A0A7M7MZL7_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1227
LOC581763	A0A7M7MZU2	A0A7M7MZU2_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1071
LOC581763	A0A7M7N0D7	A0A7M7N0D7_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1187
LOC581763	A0A7M7N169	A0A7M7N169_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1262
LOC581763	A0A7M7SSY2	A0A7M7SSY2_STRPU	unreviewed	FERM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1261
LOC100890349	A0A7M7NAY9	A0A7M7NAY9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC585068	A0A7M7HM66	A0A7M7HM66_STRPU	unreviewed	HDc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	472
LOC586281	A0A7M7RGX5	A0A7M7RGX5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	227
LOC576030	A0A7M7P9H7	A0A7M7P9H7_STRPU	unreviewed	acidPPc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	304
LOC576030	A0A7M7PA95	A0A7M7PA95_STRPU	unreviewed	acidPPc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC105445651	A0A7M7SUS4	A0A7M7SUS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	541
LOC100888391	A0A7M7T1Q9	A0A7M7T1Q9_STRPU	unreviewed	Pyr_redox_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	527
LOC577824	A0A7M7STX1	A0A7M7STX1_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	728
LOC756795	A0A7M7G9T9	A0A7M7G9T9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	477
LOC574707	A0A7M7R9E5	A0A7M7R9E5_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	607
LOC588760	A0A7M7NMD3	A0A7M7NMD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1708
LOC100893882	A0A7M7HM67	A0A7M7HM67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1320
LOC574673	A0A7M7PPB5	A0A7M7PPB5_STRPU	unreviewed	BEACH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2064
LOC594558	A0A7M7P9C8	A0A7M7P9C8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	449
LOC594558	A0A7M7P9G6	A0A7M7P9G6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	351
LOC594558	A0A7M7PAN2	A0A7M7PAN2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	424
LOC592209	A0A7M7NV90	A0A7M7NV90_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	339
LOC592209	A0A7M7NVC9	A0A7M7NVC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC592209	A0A7M7TH62	A0A7M7TH62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC100892670	A0A7M7PR72	A0A7M7PR72_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	503
LOC100892670	A0A7M7T5F4	A0A7M7T5F4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC100893969	A0A7M7PT36	A0A7M7PT36_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1228
LOC576097	A0A7M7HK97	A0A7M7HK97_STRPU	unreviewed	SRCR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	316
LOC115920004	A0A7M7N561	A0A7M7N561_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	158
LOC586176	A0A7M7PUC7	A0A7M7PUC7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	239
LOC100891741	A0A7M7HQE1	A0A7M7HQE1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	461
LOC100889526	A0A7M7HK48	A0A7M7HK48_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	603
LOC100889526	A0A7M7N8T5	A0A7M7N8T5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	580
LOC100889526	A0A7M7N9H1	A0A7M7N9H1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	536
LOC100889526	A0A7M7SUX3	A0A7M7SUX3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	566
LOC577477	A0A7M7NIC1	A0A7M7NIC1_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1333
LOC577477	A0A7M7NIM0	A0A7M7NIM0_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1330
LOC577477	A0A7M7NMD5	A0A7M7NMD5_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1334
LOC577477	A0A7M7SWP3	A0A7M7SWP3_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1333
LOC577477	A0A7M7SWQ2	A0A7M7SWQ2_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1331
LOC589151	A0A7M7NRA5	A0A7M7NRA5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1471
LOC589151	A0A7M7NT66	A0A7M7NT66_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1460
LOC115924809	A0A7M7P3Y5	A0A7M7P3Y5_STRPU	unreviewed	F5/8 type C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	153
LOC105444654	A0A7M7MZP7	A0A7M7MZP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	450
LOC105438058	A0A7M7PBW7	A0A7M7PBW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC100892701	A0A7M7NBQ0	A0A7M7NBQ0_STRPU	unreviewed	Uromodulin		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC593663	A0A7M7HPG8	A0A7M7HPG8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC593663	A0A7M7RFF3	A0A7M7RFF3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	542
