yourlist:M202206095BF3C56A578D7D6DFD1FC81EE5DA773050093F2	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC105437907	A0A7M7N5I0	A0A7M7N5I0_STRPU	unreviewed	Methyltransf_FA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	222
LOC578182	A0A7M7RAN2	A0A7M7RAN2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC578182	A0A7M7SZ78	A0A7M7SZ78_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	387
LOC115927280	A0A7M7PBC2	A0A7M7PBC2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	191
LOC548620	A0A7M6UMT5	A0A7M6UMT5_STRPU	unreviewed	Elongation factor 1-alpha		Strongylocentrotus purpuratus (Purple sea urchin)	461
LOC586840	A0A7M7MZ12	A0A7M7MZ12_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	198
LOC586840	A0A7M7REY2	A0A7M7REY2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	198
LOC115918149	A0A7M7N2I4	A0A7M7N2I4_STRPU	unreviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC593832	A0A7M7N6T6	A0A7M7N6T6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1667
LOC115922477	A0A7M7NIT5	A0A7M7NIT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	317
LOC100891966	A0A7M7PFL0	A0A7M7PFL0_STRPU	unreviewed	Integrase catalytic domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1679
LOC762845	A0A7M7HNV5	A0A7M7HNV5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	419
LOC581973	A0A7M7SUL9	A0A7M7SUL9_STRPU	unreviewed	ASCH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	577
LOC105446865	A0A7M7N5F7	A0A7M7N5F7_STRPU	unreviewed	IRF tryptophan pentad repeat domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	167
LOC587112	A0A7M7NRL1	A0A7M7NRL1_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC100888537	A0A7M7T5E8	A0A7M7T5E8_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	947
LOC589462	A0A7M7SW15	A0A7M7SW15_STRPU	unreviewed	cGMP-dependent protein kinase (EC 2.7.11.12)		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC575624	A0A7M7RBH3	A0A7M7RBH3_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	327
LOC105441744	A0A7M7P9G2	A0A7M7P9G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC763234	A0A7M7P6A9	A0A7M7P6A9_STRPU	unreviewed	Lactamase_B domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	319
LOC763234	A0A7M7P7R6	A0A7M7P7R6_STRPU	unreviewed	Lactamase_B domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC591701	A0A7M7ST66	A0A7M7ST66_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC100893973	A0A7M7HJG6	A0A7M7HJG6_STRPU	unreviewed	Kazal-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	652
LOC752606	A0A7M7PB47	A0A7M7PB47_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	285
LOC115926094	A0A7M7T188	A0A7M7T188_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	310
LOC753906	A0A7M7NYX0	A0A7M7NYX0_STRPU	unreviewed	Solute carrier organic anion transporter family member		Strongylocentrotus purpuratus (Purple sea urchin)	698
LOC115922639	A0A7M7NKC9	A0A7M7NKC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	74
LOC756776	A0A7M7G165	A0A7M7G165_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC580451	A0A7M7RD22	A0A7M7RD22_STRPU	unreviewed	Zinc finger Ran-binding domain-containing protein 2		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC593168	A0A7M7RHM1	A0A7M7RHM1_STRPU	unreviewed	UNC45-central domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	920
LOC582038	A0A7M7GH64	A0A7M7GH64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	296
LOC100892409	A0A7M7GHW6	A0A7M7GHW6_STRPU	unreviewed	Integrase catalytic domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC115921866	A0A7M7NFQ0	A0A7M7NFQ0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC105440909	A0A7M7HJ98	A0A7M7HJ98_STRPU	unreviewed	Tyr recombinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC590007	A0A7M7N314	A0A7M7N314_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	24046
LOC115923255	A0A7M7NPH6	A0A7M7NPH6_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	235
LOC115929470	A0A7M7PQ11	A0A7M7PQ11_STRPU	unreviewed	Galactose mutarotase (Aldose 1-epimerase)		Strongylocentrotus purpuratus (Purple sea urchin)	154
LOC583122	A0A7M7NAV7	A0A7M7NAV7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	534
LOC583122	A0A7M7NCZ3	A0A7M7NCZ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	718
LOC577048	A0A7M7NVH4	A0A7M7NVH4_STRPU	unreviewed	COE1_DBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	210
LOC577048	A0A7M7NXI6	A0A7M7NXI6_STRPU	unreviewed	COE1_DBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	162
LOC105446456	A0A7M7P5N9	A0A7M7P5N9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC577117	A0A7M7NPP7	A0A7M7NPP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	271
LOC105443754	A0A7M7NUM5	A0A7M7NUM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	486
LOC105437599	A0A7M7HIT5	A0A7M7HIT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	105
LOC587781	A0A7M7P0T4	A0A7M7P0T4_STRPU	unreviewed	Aldo_ket_red domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	319
LOC105441736	A0A7M7SZL9	A0A7M7SZL9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	111
LOC105440699	A0A7M7NIQ9	A0A7M7NIQ9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1668
LOC577567	A0A7M7RAF9	A0A7M7RAF9_STRPU	unreviewed	Ribosomal_S10 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	189
LOC105446713	A0A7M7HQA3	A0A7M7HQA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	385
LOC115929737	A0A7M7PR67	A0A7M7PR67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	411
LOC576320	A0A7M7RF05	A0A7M7RF05_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC587535	A0A7M7PA28	A0A7M7PA28_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	708
LOC587535	A0A7M7PC95	A0A7M7PC95_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	835
LOC587535	A0A7M7PF31	A0A7M7PF31_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	833
LOC587535	A0A7M7T242	A0A7M7T242_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	769
LOC587535	A0A7M7T257	A0A7M7T257_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	703
LOC576118	A0A7M7RBM2	A0A7M7RBM2_STRPU	unreviewed	Tetraspanin		Strongylocentrotus purpuratus (Purple sea urchin)	241
LOC582960	A0A7M7SYM9	A0A7M7SYM9_STRPU	unreviewed	Synaptotagmin-17 (Synaptotagmin XVII)		Strongylocentrotus purpuratus (Purple sea urchin)	487
LOC763081	A0A7M7GM38	A0A7M7GM38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	484
LOC592236	A0A7M7PMU7	A0A7M7PMU7_STRPU	unreviewed	Tartrate-resistant acid phosphatase type 5 (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (Type 5 acid phosphatase)		Strongylocentrotus purpuratus (Purple sea urchin)	385
LOC591584	A0A7M7NI83	A0A7M7NI83_STRPU	unreviewed	ELMO domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	300
LOC105444564	A0A7M7N8G0	A0A7M7N8G0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	565
LOC590013	A0A7M7GGQ7	A0A7M7GGQ7_STRPU	unreviewed	Amine oxidase (EC 1.4.3.-)		Strongylocentrotus purpuratus (Purple sea urchin)	521
LOC115929720	A0A7M7PRR2	A0A7M7PRR2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	159
LOC589878	A0A7M7N5T8	A0A7M7N5T8_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	464
LOC115920337	A0A7M7N819	A0A7M7N819_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC586399	A0A7M7RDB5	A0A7M7RDB5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	755
LOC576617	A0A7M7LT50	A0A7M7LT50_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	522
LOC576617	A0A7M7RA51	A0A7M7RA51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	523
LOC755896	A0A7M7P7M9	A0A7M7P7M9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	996
LOC105438154	A0A7M7PM43	A0A7M7PM43_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	269
LOC588710	A0A7M7RGU9	A0A7M7RGU9_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	168
LOC593009	A0A7M7NJ64	A0A7M7NJ64_STRPU	unreviewed	MACPF domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	587
LOC105441431	A0A7M7LW06	A0A7M7LW06_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	418
LOC105440302	A0A7M7N7D1	A0A7M7N7D1_STRPU	unreviewed	WSC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC100891773	A0A7M7GHM7	A0A7M7GHM7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC105443753	A0A7M7PTE7	A0A7M7PTE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	249
LOC105438769	A0A7M7PIT9	A0A7M7PIT9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	649
LOC105439622	A0A7M7N2J8	A0A7M7N2J8_STRPU	unreviewed	RING-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	636
LOC115921260	A0A7M7NCM3	A0A7M7NCM3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	647
LOC115926659	A0A7M7P7I8	A0A7M7P7I8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	357
LOC105441702	A0A7M7NZE7	A0A7M7NZE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1115
LOC591764	A0A7M7N136	A0A7M7N136_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC115929891	A0A7M7PVY8	A0A7M7PVY8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	240
LOC105436390	A0A7M7P1Q2	A0A7M7P1Q2_STRPU	unreviewed	Elongator complex protein 4		Strongylocentrotus purpuratus (Purple sea urchin)	388
LOC753560	A0A7M7PU48	A0A7M7PU48_STRPU	unreviewed	MAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	242
LOC578090	A0A7M7N267	A0A7M7N267_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2142
LOC764080	A0A7M7G4C5	A0A7M7G4C5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	314
LOC755250	A0A7M7N8D5	A0A7M7N8D5_STRPU	unreviewed	U6 snRNA phosphodiesterase (EC 3.1.4.-)		Strongylocentrotus purpuratus (Purple sea urchin)	268
LOC584145	A0A7M7P4W0	A0A7M7P4W0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	721
LOC584145	A0A7M7P632	A0A7M7P632_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	714
LOC105446948	A0A7M7HQ22	A0A7M7HQ22_STRPU	unreviewed	Death domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	276
LOC756068	A0A7M7N9A7	A0A7M7N9A7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	752
LOC756068	A0A7M7N9C4	A0A7M7N9C4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	743
LOC115918349	A0A7M7N3I2	A0A7M7N3I2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1034
LOC115924308	A0A7M7NVD3	A0A7M7NVD3_STRPU	unreviewed	Aa_trans domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	514
LOC105447244	A0A7M7LWQ2	A0A7M7LWQ2_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	158
LOC591154	A0A7M7T5M3	A0A7M7T5M3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1461
LOC115919518	A0A7M7N164	A0A7M7N164_STRPU	unreviewed	ANF_receptor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	296
LOC576998	A0A7M7RAB2	A0A7M7RAB2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	515
LOC105440658	A0A7M7HHL0	A0A7M7HHL0_STRPU	unreviewed	G_PROTEIN_RECEP_F2_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC105444802	A0A7M7P5Y6	A0A7M7P5Y6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	481
LOC579746	A0A7M7MZB4	A0A7M7MZB4_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	924
LOC579746	A0A7M7N083	A0A7M7N083_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	893
LOC105442754	A0A7M7LW50	A0A7M7LW50_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1349
LOC763099	A0A7M7G0F7	A0A7M7G0F7_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	162
LOC115919856	A0A7M7N332	A0A7M7N332_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	586
LOC583807	A0A7M7N4U9	A0A7M7N4U9_STRPU	unreviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma (EC 3.1.4.11)		Strongylocentrotus purpuratus (Purple sea urchin)	1285
LOC583807	A0A7M7N548	A0A7M7N548_STRPU	unreviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma (EC 3.1.4.11)		Strongylocentrotus purpuratus (Purple sea urchin)	1284
LOC105444287	A0A7M7LWB4	A0A7M7LWB4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	153
LOC574627	A0A7M7GIV9	A0A7M7GIV9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	529
LOC115919490	A0A7M7N0E3	A0A7M7N0E3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	202
LOC577861	A0A7M7SUP2	A0A7M7SUP2_STRPU	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Strongylocentrotus purpuratus (Purple sea urchin)	738
LOC115927628	A0A7M7PD21	A0A7M7PD21_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	357
LOC105436699	A0A7M7P8I9	A0A7M7P8I9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	273
LOC756224	A0A7M7HMZ1	A0A7M7HMZ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	400
LOC105437042	A0A7M7NIE1	A0A7M7NIE1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	131
LOC578403	A0A7M7TGI2	A0A7M7TGI2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	180
LOC100889201	A0A7M7GLE2	A0A7M7GLE2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC580374	A0A7M7TGN6	A0A7M7TGN6_STRPU	unreviewed	DUF4201 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	376
LOC115919375	A0A7M7SSY5	A0A7M7SSY5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	120
LOC105439634	A0A7M7P4J1	A0A7M7P4J1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
LOC100889994	A0A7M7NSC9	A0A7M7NSC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	153
LOC105444964	A0A7M7P444	A0A7M7P444_STRPU	unreviewed	SGNH_hydro domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	245
LOC100889866	A0A7M7LPD1	A0A7M7LPD1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	438
LOC575485	A0A7M7N019	A0A7M7N019_STRPU	unreviewed	VWFC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1420
LOC575485	A0A7M7N182	A0A7M7N182_STRPU	unreviewed	VWFC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1271
LOC115921719	A0A7M7NGV6	A0A7M7NGV6_STRPU	unreviewed	MYND-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC579845	A0A7M7RAZ3	A0A7M7RAZ3_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC586389	A0A7M7RD59	A0A7M7RD59_STRPU	unreviewed	T-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	948
LOC105441869	A0A7M7PPJ8	A0A7M7PPJ8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	255
LOC577804	A0A7M7TG97	A0A7M7TG97_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	307
LOC100889022	A0A7M7HHP2	A0A7M7HHP2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	384
LOC105440913	A0A7M7PLW7	A0A7M7PLW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	358
LOC578433	A0A7M7HID7	A0A7M7HID7_STRPU	unreviewed	PHB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	298
LOC588536	A0A7M7TH74	A0A7M7TH74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	476
LOC100890181	A0A7M7NIW3	A0A7M7NIW3_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	266
LOC115919990	A0A7M7N659	A0A7M7N659_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	210
LOC115924237	A0A7M7NXF3	A0A7M7NXF3_STRPU	unreviewed	Integrase catalytic domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1821
LOC578834	A0A7M7P7H8	A0A7M7P7H8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1525
LOC578834	A0A7M7P851	A0A7M7P851_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1482
LOC578834	A0A7M7P874	A0A7M7P874_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1522
LOC578834	A0A7M7P8S0	A0A7M7P8S0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1526
LOC578834	A0A7M7PAA4	A0A7M7PAA4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1515
LOC578834	A0A7M7PDB3	A0A7M7PDB3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1484
LOC578834	A0A7M7T1R1	A0A7M7T1R1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1483
LOC574604	A0A7M7T1V8	A0A7M7T1V8_STRPU	unreviewed	RING finger protein 10		Strongylocentrotus purpuratus (Purple sea urchin)	867
LOC115920249	A0A7M7N5B3	A0A7M7N5B3_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	250
LOC580296	A0A7M7SUU4	A0A7M7SUU4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	997
LOC589146	A0A7M7N6C5	A0A7M7N6C5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	349
LOC115921821	A0A7M7SWA6	A0A7M7SWA6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	149
LOC100889993	A0A7M7PI25	A0A7M7PI25_STRPU	unreviewed	DM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	469
LOC100889618	A0A7M7SYN6	A0A7M7SYN6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2662
LOC100889081	A0A7M7PLG0	A0A7M7PLG0_STRPU	unreviewed	CNNM transmembrane domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC105440256	A0A7M7LVX0	A0A7M7LVX0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	254
LOC585473	A0A7M7RHM3	A0A7M7RHM3_STRPU	unreviewed	NDK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	217
LOC585491	A0A7M7HFS7	A0A7M7HFS7_STRPU	unreviewed	T-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	579
LOC585491	A0A7M7HJL2	A0A7M7HJL2_STRPU	unreviewed	T-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	578
LOC578903	A0A7M7HPZ4	A0A7M7HPZ4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	480
LOC578903	A0A7M7RCJ3	A0A7M7RCJ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC100890563	A0A7M7LLL7	A0A7M7LLL7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC584806	A0A7M7LTW4	A0A7M7LTW4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1063
LOC105438121	A0A7M7PQ24	A0A7M7PQ24_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	306
LOC752290	A0A7M7LKV5	A0A7M7LKV5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	432
LOC578589	A0A7M7NLT5	A0A7M7NLT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	577
LOC105442531	A0A7M7P8C6	A0A7M7P8C6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	451
LOC105439761	A0A7M7HGR2	A0A7M7HGR2_STRPU	unreviewed	Transgelin		Strongylocentrotus purpuratus (Purple sea urchin)	134
LOC105445505	A0A7M7PKH1	A0A7M7PKH1_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	134
LOC579888	A0A7M7HQB8	A0A7M7HQB8_STRPU	unreviewed	Protein YIPF		Strongylocentrotus purpuratus (Purple sea urchin)	247
LOC579888	A0A7M7RBX6	A0A7M7RBX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	259
LOC115928842	A0A7M7SWN1	A0A7M7SWN1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC578518	A0A7M7PMT2	A0A7M7PMT2_STRPU	unreviewed	V-type proton ATPase subunit a		Strongylocentrotus purpuratus (Purple sea urchin)	831
LOC100888644	A0A7M7GHF1	A0A7M7GHF1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	684
