yourlist:M20220607F248CABF64506F29A91F8037F07B67D14FB3345	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC593885	A0A7M7NIF6	A0A7M7NIF6_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	330
LOC592250	A0A7M7PBR8	A0A7M7PBR8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1159
LOC115918523	A0A7M7SX16	A0A7M7SX16_STRPU	unreviewed	Ubiquitinyl hydrolase 1 (EC 3.4.19.12)		Strongylocentrotus purpuratus (Purple sea urchin)	1077
LOC105446104	A0A7M7N5Q8	A0A7M7N5Q8_STRPU	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	267
LOC100889344	A0A7M7PLX6	A0A7M7PLX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	963
LOC100890960	A0A7M7T0T2	A0A7M7T0T2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	374
LOC587112	A0A7M7NRL1	A0A7M7NRL1_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC100888173	A0A7M7PF35	A0A7M7PF35_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	774
LOC100888173	A0A7M7PHX2	A0A7M7PHX2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	996
LOC100888173	A0A7M7PJY4	A0A7M7PJY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	931
LOC100888173	A0A7M7T360	A0A7M7T360_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	914
LOC100888173	A0A7M7T379	A0A7M7T379_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC756186	A0A7M7P2V0	A0A7M7P2V0_STRPU	unreviewed	Solute carrier organic anion transporter family member		Strongylocentrotus purpuratus (Purple sea urchin)	508
LOC105447550	A0A7M7HN59	A0A7M7HN59_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	360
LOC588898	A0A7M7NRV8	A0A7M7NRV8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	635
LOC762446	A0A7M7N2K3	A0A7M7N2K3_STRPU	unreviewed	Solute carrier organic anion transporter family member		Strongylocentrotus purpuratus (Purple sea urchin)	789
LOC105439577	A0A7M7PF56	A0A7M7PF56_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	645
LOC100889251	A0A7M7HN92	A0A7M7HN92_STRPU	unreviewed	TGF_BETA_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	437
LOC593012	A0A7M7NAJ4	A0A7M7NAJ4_STRPU	unreviewed	Protein Wnt		Strongylocentrotus purpuratus (Purple sea urchin)	332
LOC100888048	A0A7M7HGM0	A0A7M7HGM0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	687
LOC105439539	A0A7M7PMC7	A0A7M7PMC7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	125
LOC105439231	A0A7M7PKX4	A0A7M7PKX4_STRPU	unreviewed	HEPN domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4400
LOC100889976	A0A7M7PNL3	A0A7M7PNL3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	835
LOC100889976	A0A7M7PPD3	A0A7M7PPD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	833
LOC583781	A0A7M7SWW2	A0A7M7SWW2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	458
LOC582570	A0A7M7GGI8	A0A7M7GGI8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1368
LOC582570	A0A7M7GLI5	A0A7M7GLI5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1294
LOC582570	A0A7M7HLW4	A0A7M7HLW4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1359
LOC582570	A0A7M7HP66	A0A7M7HP66_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1429
LOC582570	A0A7M7T3B9	A0A7M7T3B9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1380
LOC100893810	A0A7M7HM65	A0A7M7HM65_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC763311	A0A7M7P1R9	A0A7M7P1R9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4032
LOC581147	A0A7M7PC42	A0A7M7PC42_STRPU	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)		Strongylocentrotus purpuratus (Purple sea urchin)	352
LOC581147	A0A7M7R9D7	A0A7M7R9D7_STRPU	unreviewed	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)		Strongylocentrotus purpuratus (Purple sea urchin)	409
LOC105436856	A0A7M7HI43	A0A7M7HI43_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	341
LOC105436856	A0A7M7N2S2	A0A7M7N2S2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	272
LOC100889760	A0A7M7PW52	A0A7M7PW52_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1285
LOC100889760	A0A7M7T5V6	A0A7M7T5V6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1572
LOC587916	A0A7M7RG47	A0A7M7RG47_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC115922559	A0A7M7NJI5	A0A7M7NJI5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	90
LOC575143	A0A7M7N446	A0A7M7N446_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	687
LOC575143	A0A7M7N588	A0A7M7N588_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	670
LOC575143	A0A7M7STH5	A0A7M7STH5_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	571
LOC756047	A0A7M7P157	A0A7M7P157_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	788
LOC756047	A0A7M7SZ97	A0A7M7SZ97_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	787
LOC591448	A0A7M7NQ92	A0A7M7NQ92_STRPU	unreviewed	Tectonin beta-propeller repeat-containing protein 1		Strongylocentrotus purpuratus (Purple sea urchin)	1387
LOC591448	A0A7M7NSU4	A0A7M7NSU4_STRPU	unreviewed	Tectonin beta-propeller repeat-containing protein 1		Strongylocentrotus purpuratus (Purple sea urchin)	1174
LOC591448	A0A7M7SY73	A0A7M7SY73_STRPU	unreviewed	Tectonin beta-propeller repeat-containing protein 1		Strongylocentrotus purpuratus (Purple sea urchin)	1171
LOC100891387	A0A7M7STH0	A0A7M7STH0_STRPU	unreviewed	AP complex subunit beta		Strongylocentrotus purpuratus (Purple sea urchin)	891
LOC578975	A0A7M7N1R7	A0A7M7N1R7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3724
LOC578975	A0A7M7N3K1	A0A7M7N3K1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3304
LOC592581	A0A7M7N861	A0A7M7N861_STRPU	unreviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)		Strongylocentrotus purpuratus (Purple sea urchin)	377
LOC105440125	A0A7M7T501	A0A7M7T501_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	156
LOC579093	A0A7M7NJS5	A0A7M7NJS5_STRPU	unreviewed	C3H1-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	3638
LOC105437706	A0A7M7PSF1	A0A7M7PSF1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	8578
LOC105437706	A0A7M7PU57	A0A7M7PU57_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	8608
LOC105437706	A0A7M7PWK2	A0A7M7PWK2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	8696
LOC105437706	A0A7M7T5K9	A0A7M7T5K9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	8642
LOC105437706	A0A7M7T5M2	A0A7M7T5M2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	8680
LOC100890146	A0A7M7P4K9	A0A7M7P4K9_STRPU	unreviewed	Ubiquitin-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	540
LOC100890146	A0A7M7P6N5	A0A7M7P6N5_STRPU	unreviewed	Ubiquitin-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	495
LOC588843	A0A7M7RGV9	A0A7M7RGV9_STRPU	unreviewed	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60)		Strongylocentrotus purpuratus (Purple sea urchin)	333
LOC583978	A0A7M7P5M7	A0A7M7P5M7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	484
LOC115921022	A0A7M7NEG1	A0A7M7NEG1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	873
LOC589903	A0A7M7N3U6	A0A7M7N3U6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	320
LOC589903	A0A7M7STW6	A0A7M7STW6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	289
LOC585877	A0A7M7N8D2	A0A7M7N8D2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2108
LOC105438652	A0A7M7PMM3	A0A7M7PMM3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1175
LOC588585	A0A7M7T0J5	A0A7M7T0J5_STRPU	unreviewed	Kinesin-like protein		Strongylocentrotus purpuratus (Purple sea urchin)	713
LOC105439848	A0A7M7P0U2	A0A7M7P0U2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	253
LOC105439848	A0A7M7P1R1	A0A7M7P1R1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	308
LOC583278	A0A7M7RE21	A0A7M7RE21_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	605
LOC591736	A0A7M7N8P2	A0A7M7N8P2_STRPU	unreviewed	Phosphatidylinositol 3-kinase catalytic subunit type 3 (EC 2.7.1.137)		Strongylocentrotus purpuratus (Purple sea urchin)	890
LOC105447536	A0A7M7NDV4	A0A7M7NDV4_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1134
LOC105443789	A0A7M7PQS4	A0A7M7PQS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	212
LOC115922818	A0A7M7SXF4	A0A7M7SXF4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	301
LOC763365	A0A7M7MXG5	A0A7M7MXG5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4712
LOC763365	A0A7M7MXR4	A0A7M7MXR4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4241
LOC763365	A0A7M7MXT2	A0A7M7MXT2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4242
LOC763365	A0A7M7SSH1	A0A7M7SSH1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	5101
LOC115928651	A0A7M7PIU6	A0A7M7PIU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	634
LOC584806	A0A7M7LTW4	A0A7M7LTW4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1063
LOC105441117	A0A7M7PFB4	A0A7M7PFB4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1170
LOC593546	A0A7M7PHK3	A0A7M7PHK3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC105441864	A0A7M7NDA3	A0A7M7NDA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	475
LOC575900	A0A7M7PUL7	A0A7M7PUL7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	476
LOC115919317	A0A7M7MYW0	A0A7M7MYW0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	213
LOC100889880	A0A7M7GIN6	A0A7M7GIN6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	278
LOC589503	A0A7M7SVT8	A0A7M7SVT8_STRPU	unreviewed	JmjC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	257
